month,n_trips,passenger_trip,distance_trip,total_trip,duration_trip
1,5009770,1.3255963914529842,1.7004245792773536,19.295447017289206,10.939180542604785
2,4927964,1.3135233148579046,1.7002985855040023,19.467213459714685,11.218028332778978
3,8779262,1.3362845613178023,1.7495904253864856,18.038428889209218,11.315791001454288
4,8498586,1.3491994427672112,1.778194704851722,18.171338707445766,11.487335394846044
5,8687792,1.3368096285171587,1.7667664466102515,18.426365489112346,11.80764441727343
6,8381993,1.342060395156028,1.7679457421275,18.344245534453567,11.681971218422154
7,7397454,1.3631627091866114,1.7753013702558922,18.096948638561294,11.339552824672344
8,7210114,1.3561738701431343,1.7716397551825278,18.081006909855763,11.321640580976881
9,4731211,1.3405416962126089,1.7173071390790775,17.67433447580481,11.952663207413433
10,5711612,1.3428906774862033,1.7194520297505764,17.71057298333384,12.012772971505216
11,5255890,1.3466574008964156,1.6965099093810319,17.623437645391242,11.952544375846305
12,5355429,1.3772632368000393,1.6807333221935536,18.358967174350354,11.891649488780164
