pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2022-03-31,4270445,5654635.96,46130518.27,34265908.95,3075023
2022-04-30,4228947,5631284.8,45576361.410000004,34180135.71666667,3004149
2022-05-31,4069075,5489703.55,44850317.06,34102362.733333334,2926385
2022-06-30,4062172,5459604.0,44781679.81,34025928.43333334,2917367
2022-07-31,3724235,4982858.94,39702293.79,29327473.366666667,2627194
2022-08-31,3669188,4896650.61,39217964.21,29099706.95,2600258
2022-09-30,3522192,4713024.55,39442410.03,30484635.15,2552011
2022-10-31,4102538,5466063.56,45936698.79,35580268.18333333,2975223
2022-11-30,3650821,4779731.95,40597166.88,31468031.083333336,2639133
2022-12-31,3837745,4843577.29,46216127.33,32461612.6,2729661
2023-01-31,3543222,4652131.57,50656564.5,28540498.8,2600428
2023-02-28,3349627,4421749.78,48684946.12,27808387.766666666,2479012
2023-03-31,3844105,5021547.94,56315823.8,32383023.6,2845578
2023-04-30,3735920,4856023.9,53959493.2,31154850.333333332,2717075
2023-05-31,3880303,5069347.2,57654711.89,33936475.516666666,2861868
2023-06-30,3674808,4772121.54,54135070.89,31607690.950000003,2697594
2023-07-31,3298440,4220673.6,47108042.96,27160116.35,2380509
2023-08-31,3160061,4111613.92,45831092.6,26361687.083333332,2310855
2023-09-30,2834965,3460189.95,43351361.13,26063205.75,2179200
2023-10-31,3576133,4382900.21,54676872.61,33019153.25,2736389
2023-11-30,3427883,4139501.57,51979545.55,31352580.266666666,2616757
2023-12-31,3541070,4167204.54,51955671.11,31223326.766666666,2625768
2024-01-31,3104773,3883527.4899999998,46044469.28,26269183.2,2409342
2024-02-29,3124501,3959766.71,47253940.4,27473636.98333333,2448952
2024-03-31,3628203,4703052.88,55237790.42,32657199.616666667,2858661
2024-04-30,3513134,4646128.88,54112655.33,32267511.95,2777362
2024-05-31,3665269,4793006.98,57431400.26,34537477.06666667,2899539
2024-06-30,3518328,4602663.12,54274764.28,32279332.583333332,2767032
2024-07-31,3073970,3958011.44,46336627.14,27353673.816666666,2389751
2024-08-31,2965596,3799140.73,44434461.21,26130615.183333334,2299001
